"game_id","season_id","team_id_home","team_abbreviation_home","team_name_home","game_date","wl_home","minutes","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","oreb_home","dreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_home","plus_minus_home","video_available_home","team_id_away","team_abbreviation_away","team_name_away","wl_away","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","ft_pct_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","plus_minus_away","video_available_away","season_type"
48800031,41988,1610612739,"CLE","Cleveland Cavaliers","1989-05-07","L",240,36,71,"1",7,12,"1",21,24,"1",10,24,34,28,7,7,17,20,100,-1,False,1610612741,"CHI","Chicago Bulls","W",40,83,"0",5,11,"0",16,26,"1",13,24,37,20,7,3,13,24,101,1,False,"Playoffs"
48800048,41988,1610612741,"CHI","Chicago Bulls","1989-05-19","W",240,42,71,"1",8,14,"1",21,25,"1",7,20,27,27,10,10,15,27,113,2,False,1610612752,"NYK","New York Knicks","L",38,72,"1",7,12,"1",28,36,"1",10,22,32,30,11,3,20,24,111,-2,False,"Playoffs"
49800007,41998,1610612747,"LAL","Los Angeles Lakers","1999-05-09","W",240,37,78,"0",7,13,"1",20,30,"1",11,23,34,26,6,7,9,23,101,1,False,1610612745,"HOU","Houston Rockets","L",38,73,"1",6,14,"0",18,23,"1",9,28,37,20,5,7,14,27,100,-1,False,"Playoffs"
40300235,42003,1610612759,"SAS","San Antonio Spurs","2004-05-13","L",240,29,76,"0",6,23,"0",9,17,"1",13,34,47,16,8,4,20,16,73,-1,False,1610612747,"LAL","Los Angeles Lakers","W",31,72,"0",6,15,"0",6,13,"0",4,35,39,18,8,5,16,18,74,1,False,"Playoffs"
40600302,42006,1610612765,"DET","Detroit Pistons","2007-05-24","W",240,32,72,"0",6,11,"1",9,19,"0",11,26,37,23,7,6,18,16,79,3,False,1610612739,"CLE","Cleveland Cavaliers","L",30,75,"0",6,19,"0",10,15,"1",11,28,39,17,11,4,15,18,76,-3,False,"Playoffs"
40600404,42006,1610612739,"CLE","Cleveland Cavaliers","2007-06-14","L",240,32,84,"0",7,22,"0",11,16,"1",12,30,42,23,5,2,10,24,82,-1,False,1610612759,"SAS","San Antonio Spurs","W",29,68,"0",5,19,"0",20,34,"1",11,34,45,13,5,2,14,19,83,1,False,"Playoffs"
40800112,42008,1610612738,"BOS","Boston Celtics","2009-04-20","W",240,47,96,"0",7,16,"0",17,25,"1",21,29,50,26,9,4,12,21,118,3,False,1610612741,"CHI","Chicago Bulls","L",40,80,"1",9,20,"0",26,29,"1",8,28,36,20,7,14,13,18,115,-3,False,"Playoffs"
40800114,42008,1610612741,"CHI","Chicago Bulls","2009-04-26","W",290,45,93,"0",5,12,"0",26,35,"1",10,39,49,23,9,9,16,28,121,3,False,1610612738,"BOS","Boston Celtics","L",40,95,"0",10,23,"0",28,32,"1",14,33,47,19,10,4,21,31,118,-3,False,"Playoffs"
40800115,42008,1610612738,"BOS","Boston Celtics","2009-04-28","W",265,42,86,"0",6,16,"0",16,24,"1",9,35,44,24,5,9,10,20,106,2,False,1610612741,"CHI","Chicago Bulls","L",34,85,"0",9,23,"0",27,32,"1",14,36,50,18,7,6,13,23,104,-2,False,"Playoffs"
40800116,42008,1610612741,"CHI","Chicago Bulls","2009-04-30","W",315,49,99,"0",9,17,"1",21,28,"1",9,37,46,27,4,7,17,30,128,1,False,1610612738,"BOS","Boston Celtics","L",46,106,"0",11,31,"0",24,30,"1",16,33,49,29,6,6,13,29,127,-1,False,"Playoffs"
40900103,42009,1610612741,"CHI","Chicago Bulls","2010-04-22","W",240,42,84,"1",5,12,"0",19,25,"1",7,35,42,22,5,4,8,22,108,2,False,1610612739,"CLE","Cleveland Cavaliers","L",36,82,"0",14,35,"0",20,31,"1",14,29,43,21,5,7,13,24,106,-2,False,"Playoffs"
40900133,42009,1610612748,"MIA","Miami Heat","2010-04-23","L",240,39,77,"1",6,18,"0",14,17,"1",9,25,34,20,7,4,18,21,98,-2,False,1610612738,"BOS","Boston Celtics","W",37,79,"0",8,23,"0",18,23,"1",11,27,38,19,9,2,15,23,100,2,False,"Playoffs"
41000121,42010,1610612738,"BOS","Boston Celtics","2011-04-17","W",240,35,80,"0",5,13,"0",12,18,"1",15,29,44,20,5,5,18,15,87,2,False,1610612752,"NYK","New York Knicks","L",33,78,"0",8,23,"0",11,16,"1",13,21,34,16,5,9,14,17,85,-2,False,"Playoffs"
41000122,42010,1610612738,"BOS","Boston Celtics","2011-04-19","W",240,39,83,"0",6,11,"1",12,16,"1",9,28,37,21,8,5,10,22,96,3,False,1610612752,"NYK","New York Knicks","L",32,90,"0",8,25,"0",21,27,"1",20,33,53,14,8,5,13,17,93,-3,False,"Playoffs"
41000305,42010,1610612741,"CHI","Chicago Bulls","2011-05-26","L",240,29,81,"0",7,22,"0",15,21,"1",11,34,45,18,8,7,10,28,80,-3,False,1610612748,"MIA","Miami Heat","W",26,66,"0",6,15,"0",25,33,"1",6,36,42,12,7,8,17,18,83,3,False,"Playoffs"
41100212,42011,1610612738,"BOS","Boston Celtics","2012-05-14","L",240,33,79,"0",8,18,"0",7,9,"1",6,30,36,23,11,6,19,22,81,-1,False,1610612755,"PHI","Philadelphia 76ers","W",31,76,"0",5,14,"0",15,21,"1",11,36,47,17,10,6,18,13,82,1,False,"Playoffs"
41100304,42011,1610612738,"BOS","Boston Celtics","2012-06-03","W",265,35,85,"0",9,27,"0",14,20,"1",11,28,39,22,6,7,15,30,93,2,False,1610612748,"MIA","Miami Heat","L",34,80,"0",6,19,"0",17,24,"1",7,33,40,20,6,6,17,28,91,-2,False,"Playoffs"
41200231,42012,1610612759,"SAS","San Antonio Spurs","2013-05-06","W",290,46,105,"0",13,26,"1",24,28,"1",13,32,45,26,9,3,14,21,129,2,False,1610612744,"GSW","Golden State Warriors","L",51,100,"1",11,30,"0",14,24,"1",12,43,55,23,8,5,21,29,127,-2,False,"Playoffs"
41200205,42012,1610612748,"MIA","Miami Heat","2013-05-15","W",240,32,70,"0",6,21,"0",24,33,"1",6,26,32,20,10,5,10,24,94,3,True,1610612741,"CHI","Chicago Bulls","L",33,75,"0",8,19,"0",17,24,"1",15,25,40,14,5,5,16,21,91,-3,True,"Playoffs"
41200406,42012,1610612748,"MIA","Miami Heat","2013-06-18","W",265,38,81,"0",11,19,"1",16,21,"1",12,30,42,23,10,6,15,26,103,3,True,1610612759,"SAS","San Antonio Spurs","L",37,85,"0",5,18,"0",21,28,"1",12,33,45,13,8,2,15,21,100,-3,True,"Playoffs"
41300402,42013,1610612759,"SAS","San Antonio Spurs","2014-06-08","L",240,36,82,"0",12,26,"0",12,20,"1",11,26,37,26,7,1,11,20,96,-2,True,1610612748,"MIA","Miami Heat","W",37,70,"1",8,19,"0",16,21,"1",5,33,38,16,6,3,16,20,98,2,True,"Playoffs"
41400213,42014,1610612741,"CHI","Chicago Bulls","2015-05-08","W",240,34,90,"0",6,21,"0",25,29,"1",18,36,54,17,9,10,11,18,99,3,True,1610612739,"CLE","Cleveland Cavaliers","L",32,82,"0",14,34,"0",18,19,"1",9,30,39,23,6,9,12,24,96,-3,True,"Playoffs"
41400214,42014,1610612741,"CHI","Chicago Bulls","2015-05-10","L",240,32,89,"0",9,21,"0",11,12,"1",11,29,40,12,7,6,12,19,84,-2,True,1610612739,"CLE","Cleveland Cavaliers","W",29,75,"0",5,25,"0",23,24,"1",6,38,44,16,4,6,15,16,86,2,True,"Playoffs"
41400312,42014,1610612744,"GSW","Golden State Warriors","2015-05-21","W",240,41,77,"1",8,24,"0",9,13,"1",7,32,39,31,7,8,17,17,99,1,True,1610612745,"HOU","Houston Rockets","L",39,84,"0",7,23,"0",13,19,"1",11,28,39,20,10,5,11,18,98,-1,True,"Playoffs"
41400402,42014,1610612744,"GSW","Golden State Warriors","2015-06-07","L",265,33,83,"0",8,35,"0",19,25,"1",10,35,45,16,11,7,19,31,93,-2,True,1610612739,"CLE","Cleveland Cavaliers","W",29,90,"0",9,27,"0",28,40,"1",14,41,55,14,11,3,17,24,95,2,True,"Playoffs"
41500143,42015,1610612745,"HOU","Houston Rockets","2016-04-21","W",240,36,92,"0",11,36,"0",14,23,"1",16,36,52,18,9,4,16,24,97,1,True,1610612744,"GSW","Golden State Warriors","L",34,79,"0",6,25,"0",22,29,"1",8,35,43,23,6,6,14,23,96,-1,True,"Playoffs"
41500104,42015,1610612765,"DET","Detroit Pistons","2016-04-24","L",240,37,76,"0",10,24,"0",14,21,"1",7,35,42,22,3,4,9,18,98,-2,True,1610612739,"CLE","Cleveland Cavaliers","W",36,86,"0",13,36,"0",15,17,"1",10,31,41,16,6,1,6,22,100,2,True,"Playoffs"
41600235,42016,1610612759,"SAS","San Antonio Spurs","2017-05-09","W",265,42,103,"0",11,33,"0",15,23,"1",18,34,52,24,7,5,8,18,110,3,True,1610612745,"HOU","Houston Rockets","L",38,86,"0",16,48,"0",15,21,"1",9,38,47,21,4,5,16,23,107,-3,True,"Playoffs"
41600311,42016,1610612744,"GSW","Golden State Warriors","2017-05-14","W",240,39,81,"0",11,30,"0",24,33,"1",17,26,43,22,13,8,19,24,113,2,True,1610612759,"SAS","San Antonio Spurs","L",40,84,"0",7,22,"0",24,28,"1",14,23,37,19,13,3,19,24,111,-2,True,"Playoffs"
41600303,42016,1610612739,"CLE","Cleveland Cavaliers","2017-05-21","L",240,32,70,"0",16,39,"0",28,36,"1",11,35,46,21,5,4,16,11,108,-3,True,1610612738,"BOS","Boston Celtics","W",42,91,"0",18,40,"0",9,12,"1",11,27,38,28,10,3,9,23,111,3,True,"Playoffs"
41700213,42017,1610612755,"PHI","Philadelphia 76ers","2018-05-05","L",265,38,97,"0",9,30,"0",13,18,"1",13,37,50,23,8,5,15,14,98,-3,True,1610612738,"BOS","Boston Celtics","W",41,91,"0",10,38,"0",9,14,"1",9,40,49,19,9,7,13,20,101,3,True,"Playoffs"
41700215,42017,1610612738,"BOS","Boston Celtics","2018-05-09","W",240,38,85,"0",7,20,"0",31,41,"1",13,26,39,18,12,3,11,24,114,2,True,1610612755,"PHI","Philadelphia 76ers","L",40,82,"0",8,21,"0",24,31,"1",12,36,48,26,5,6,17,31,112,-2,True,"Playoffs"
41700314,42017,1610612744,"GSW","Golden State Warriors","2018-05-22","L",240,35,89,"0",9,27,"0",13,14,"1",16,33,49,14,6,3,16,24,92,-3,True,1610612745,"HOU","Houston Rockets","W",30,77,"0",12,38,"0",23,27,"1",8,33,41,12,7,9,13,19,95,3,True,"Playoffs"
41900301,42019,1610612738,"BOS","Boston Celtics","2020-09-15","L",265,39,88,"0",15,42,"0",21,23,"1",6,31,37,24,9,6,11,25,114,-3,True,1610612748,"MIA","Miami Heat","W",40,85,"0",16,36,"0",21,28,"1",7,34,41,32,6,6,13,23,117,3,True,"Playoffs"
41900304,42019,1610612748,"MIA","Miami Heat","2020-09-23","W",240,39,91,"0",10,37,"0",24,27,"1",10,30,40,20,9,2,8,20,112,3,True,1610612738,"BOS","Boston Celtics","L",39,82,"0",14,40,"0",17,21,"1",12,34,46,28,3,5,19,24,109,-3,True,"Playoffs"
