Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Bryson DeChambeau,24,5617,3,9,0.326,306.4,1.385,0.579,0.654,0.151,0.326,69.624,1602,24,
Bubba Watson,22,2277,3,6,-0.033,313.6,0.82,0.861,0.092,-0.133,-0.033,70.25,1350,39,
Dustin Johnson,18,3289,3,11,0.503,314.5,1.987,1.006,0.824,0.157,0.503,68.702,1260,34,
Justin Thomas,21,3084,3,9,0.297,312.9,1.653,0.471,0.967,0.215,0.297,69.117,1404,25,
Brooks Koepka,15,2551,2,6,-0.004,313.4,1.226,0.767,0.228,0.23,-0.004,69.31,1044,28,
Francesco Molinari,18,1682,2,4,-0.486,301.6,1.674,0.767,0.702,0.205,-0.486,69.746,1188,35,
Jason Day,18,1935,2,5,0.862,310.7,0.725,0.229,-0.133,0.629,0.862,69.586,1152,30,
Justin Rose,16,3191,2,9,0.512,303.1,1.363,0.592,0.414,0.357,0.512,69,1116,38,
Patton Kizzire,27,1413,2,4,0.16,299,-0.055,-0.278,0.39,-0.167,0.16,70.851,1530,27,
Aaron Wise,27,1498,1,4,0.245,303.4,0.486,0.421,0.075,-0.01,0.245,70.276,1512,22,
Andrew Landry,26,1145,1,5,-0.051,291.7,0.016,0.263,-0.061,-0.186,-0.051,71.059,1440,31,
Andrew Putnam,27,1063,1,5,0.023,294.2,0.413,-0.104,0.357,0.161,0.023,70.579,1602,29,
Austin Cook,28,1094,1,3,0.309,292.5,0.269,0.115,-0.056,0.21,0.309,70.469,1926,27,
Billy Horschel,25,1610,1,4,0.331,296.1,0.649,0.559,0.278,-0.189,0.331,70.258,1404,31,
Brandt Snedeker,24,1174,1,4,0.499,293.5,0.352,-0.079,0.074,0.357,0.499,70.379,1476,37,
Brendan Steele,21,998,1,3,-0.481,311.4,0.751,0.684,0.306,-0.239,-0.481,71.021,1206,35,
Brice Garnett,29,853,1,2,-0.096,296.7,-0.224,0.197,-0.103,-0.318,-0.096,71.018,1710,35,
Gary Woodland,25,1205,1,3,-0.045,313.2,1.097,0.862,0.53,-0.295,-0.045,70.197,1566,34,
Ian Poulter,19,1061,1,4,0.17,293.4,0.815,0.193,0.454,0.168,0.17,70.593,1152,38,
Jon Rahm,18,1474,1,5,-0.121,310.5,1.224,0.872,0.15,0.203,-0.121,69.995,1116,23,
Kevin Na,24,1387,1,4,0.44,290.3,0.431,-0.341,0.373,0.4,0.44,70.247,1476,35,
Michael Kim,27,675,1,1,0.259,289.9,-1.262,-1.023,-0.213,-0.027,0.259,71.662,1260,25,
Pat Perez,22,1167,1,4,0.146,292.9,-0.183,-0.032,-0.199,0.048,0.146,70.594,1350,39,
Patrick Cantlay,21,1838,1,7,-0.055,303.2,1.489,0.723,0.567,0.199,-0.055,69.861,1368,25,
Patrick Reed,24,1761,1,7,0.151,299.3,0.89,0.091,0.255,0.543,0.151,69.982,1476,28,
Paul Casey,18,1499,1,5,0.126,304.1,0.944,0.179,0.703,0.063,0.126,69.878,1206,35,
Phil Mickelson,22,1969,1,6,0.841,299.9,0.617,-0.147,0.634,0.13,0.841,69.927,1494,48,
Rory McIlroy,16,1373,1,5,0.184,320.2,1.253,0.655,0.195,0.403,0.184,69.314,1026,29,
Ryan Armour,31,1084,1,3,-0.067,284.2,0.467,0.017,0.25,0.2,-0.067,70.758,1926,36,
Satoshi Kodaira,18,600,1,1,-0.536,293.2,-1.183,0.026,-0.285,-0.924,-0.536,72.182,864,34,
Scott Piercy,25,833,1,2,-0.573,296.3,0.916,0.205,0.641,0.071,-0.573,70.736,1440,36,
Ted Potter Jr,27,809,1,1,0.042,286,-0.082,-0.044,-0.179,0.14,0.042,71.024,1566,31,
Troy Merritt,27,616,1,3,0.077,295.4,0.132,0.138,0.086,-0.092,0.077,70.888,1530,31,
Webb Simpson,24,1848,1,7,0.606,293.6,0.734,-0.07,0.489,0.315,0.606,69.311,1584,33,
Aaron Baddeley,27,342,0,1,-0.062,295.5,0.305,-0.375,0.048,0.632,-0.062,70.85,1404,37,
Abraham Ancer,29,909,0,5,-0.052,296.3,0.444,0.332,0.128,-0.016,-0.052,70.659,1728,27,
Adam Hadwin,24,1054,0,3,0.145,289.7,0.584,0.121,0.24,0.223,0.145,70.75,1602,30,
Adam Schenk,28,239,0,1,0.13,305.5,-0.28,0.073,-0.262,-0.091,0.13,71.37,1440,26,
Adam Scott,20,1052,0,3,-0.221,304.8,1.224,0.366,0.705,0.153,-0.221,70.42,1404,38,
Alex Cejka,24,524,0,2,0.009,286.7,0.302,-0.024,-0.169,0.495,0.009,70.675,1242,47,
Alex Noren,17,1033,0,3,0.686,299.2,0.364,0.208,0.19,-0.034,0.686,69.973,1080,36,
Andrew Yun,22,16,0,0,-0.6,290.6,-1.336,-0.457,-0.447,-0.432,-0.6,73.624,810,27,
Anirban Lahiri,24,566,0,4,0.199,294,-0.095,0.07,-0.285,0.12,0.199,70.66,1476,31,
Beau Hossler,27,1043,0,5,0.698,300.1,-0.094,0.267,-0.366,0.004,0.698,70.574,1872,23,
Ben Crane,21,267,0,1,0.332,281.1,-0.156,-0.302,-0.038,0.184,0.332,71.097,1062,42,
Ben Martin,20,266,0,1,0.118,289.6,-0.119,-0.142,0.119,-0.096,0.118,70.974,1152,31,
Ben Silverman,28,323,0,2,0.238,290.2,-0.444,0.069,-0.385,-0.128,0.238,71.281,1512,30,
Bill Haas,25,262,0,1,-0.131,296.3,0.142,-0.174,-0.025,0.341,-0.131,71.028,1332,36,
Billy Hurley III,27,73,0,0,0.025,284,-0.727,-0.696,-0.17,0.139,0.025,71.715,1152,36,
Blayne Barber,22,202,0,0,-0.022,294.7,-0.019,0.101,-0.047,-0.073,-0.022,70.835,1206,28,
Branden Grace,18,634,0,2,0.283,299.1,0.471,0.155,0.182,0.134,0.283,70.412,1152,30,
Brandon Harkins,30,545,0,3,0.225,303.1,0.05,0.181,-0.006,-0.124,0.225,70.721,1710,32,
Brett Stegmaier,21,149,0,0,0.401,295.4,-0.353,-0.135,0.078,-0.296,0.401,71.191,1098,35,
